week,anxiety,bodyAches,cough,covid,depression,fatigue,hyperventilation,lossOfFocus,panicAttacks,sadness,soreThroat,suicidalThoughts
12/12/2021,33,45,60,44,67,80,55,62,71,74,45,66
12/19/2021,49,72,72,78,48,79,38,29,72,66,71,61
12/26/2021,26,100,88,99,51,94,45,31,70,67,92,76
1/2/2022,51,96,88,100,60,96,46,49,78,70,85,70
1/9/2022,52,83,76,82,66,100,54,38,73,87,72,71
1/16/2022,77,67,62,83,65,91,55,27,74,74,56,48
1/23/2022,20,48,52,43,73,89,48,66,80,73,38,74
1/30/2022,20,35,42,30,79,86,65,36,78,80,29,72
2/6/2022,13,32,40,25,75,87,53,48,82,68,27,63
2/13/2022,14,28,37,22,74,84,59,56,83,70,26,55
2/20/2022,13,27,38,18,72,80,75,43,82,73,26,64
2/27/2022,13,25,36,17,76,80,65,46,78,73,27,80
3/6/2022,40,27,39,16,74,82,69,63,77,73,28,65
3/13/2022,20,28,41,16,67,80,58,62,75,100,30,61
3/20/2022,39,26,42,14,71,82,70,47,75,76,30,62
3/27/2022,13,28,43,14,71,84,79,48,73,67,30,57
4/3/2022,12,29,43,14,71,80,64,60,78,76,31,84
4/10/2022,32,31,46,15,71,80,62,34,72,73,31,74
4/17/2022,27,33,47,15,70,87,82,98,76,79,35,58
4/24/2022,0,37,39,0,64,88,59,62,74,83,35,61
